Key,Translation,Location,Notes
language_en,English (Inglés),Language list,Label
language_es,Español,Language list,Label
language_fr,Français (Francés),Language list,Label
button_play,Jugar,Title screen,Button
button_settings,Opciones,Title screen,Button
button_credits,Créditos,Title screen,Button
button_quit,Salir,Title screen,Button
button_display,Pantalla,Settings menu,Button / Heading
button_sound,Sonido,Settings menu,Button / Heading
button_gameplay,Jugabilidad,Settings menu,Button / Heading
button_language,Idioma,Settings menu,Button / Heading
button_back,Ir atrás,Settings menu,Button
checkbox_fullscreen,Pantalla completa,Display settings menu,Checkbox
checkbox_reduce_motion,Reducir movimiento,Display settings menu,Checkbox
checkbox_disable_shaders,Deshabilitar shaders,Display settings menu,Checkbox
slider_master_volume,Volumen principal,Sound settings menu,Slider
slider_music_volume,Música,Sound settings menu,Slider
slider_effects_volume,Efectos,Sound settings menu,Slider
button_continue,Continuar,Pause menu,Button
button_back_to_title,Menú principal,Pause menu,Button
button_title,Título,Character selection screen,Button
button_start,Comenzar,Character selection screen,Button
