Key,Translation,Location,Notes
language_en,English (Anglais),Language list,Label
language_es,Español (Espagnol),Language list,Label
language_fr,Français,Language list,Label
button_play,Jouer,Title screen,Button
button_settings,Réglages,Title screen,Button
button_credits,Crédits,Title screen,Button
button_quit,Quitter,Title screen,Button
button_display,Affichage,Settings menu,Button / Heading
button_sound,Son,Settings menu,Button / Heading
button_gameplay,Jouabilité,Settings menu,Button / Heading
button_language,Changer langue,Settings menu,Button / Heading
button_back,Retour,Settings menu,Button
checkbox_reduce_motion,Réduire le mouvement,Display settings menu,Checkbox
checkbox_disable_shaders,Désactiver les shaders,Display settings menu,Checkbox
slider_master_volume,Volume principal,Sound settings menu,Slider
slider_music_volume,Volume musique,Sound settings menu,Slider
slider_effects_volume,Volume bruitages,Sound settings menu,Slider
button_continue,Continuer,Pause menu,Button
button_back_to_title,Retour au titre,Pause menu,Button
button_title,Titre,Character selection screen,Button
button_start,Lancer,Character selection screen,Button
